pkSeqID,stime,flgs,proto,saddr,sport,daddr,dport,pkts,bytes,state,ltime,seq,dur,mean,stddev,smac,dmac,sum,min,max,soui,doui,sco,dco,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,category,subcategory 
591406,1526898845.184672,e,tcp,192.168.100.148,57184,192.168.100.3,27201,2,120,RST,1526898845.199258,92088,0.014586,0.014586,0.0,,,0.014586,0.014586,0.014586,,,,,1,1,60,60,68.558891,0.0,0.0,1,Reconnaissance,Service_Scan
34993160,1528095725.230204,e s,tcp,192.168.100.148,38260,192.168.100.3,80,2,308,REQ,1528095734.861022,136688,9.630818,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.103833,0.103833,0.0,1,DDoS/DoS,TCP
34867099,1528095721.907304,e s,tcp,192.168.100.148,4446.0,192.168.100.3,80,2,308,REQ,1528095731.560347,10627,9.653043,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.103594,0.103594,0.0,1,DDoS/DoS,TCP
9314145,1528082862.353793,e g,tcp,192.168.100.147,27823.0,192.168.100.3,80.0,9,822,RST,1528082912.066362,60162,49.71257,0.154821,0.013848,,,0.464464,0.1383,0.172188,,,,,6,3,642,180,0.160925,0.100578,0.040371,1,DDoS/DoS,TCP
9944876,1528082994.193597,e s,tcp,192.168.100.150,9174.0,192.168.100.6,80.0,5,582,RST,1528083033.711308,166568,39.517712,0.03662,0.026813,,,0.10986,0.0,0.063453,,,,,3,2,462,120,0.10122,0.05061,0.048406,1,DDoS/DoS,TCP
9610560,1528082926.944949,e s,tcp,192.168.100.148,45228.0,192.168.100.5,80.0,5,770,REQ,1528082968.159059,94413,41.214111,0.0,0.0,,,0.0,0.0,0.0,,,,,5,0,770,0,0.097054,0.097054,0.0,1,DDoS/DoS,TCP
604560,1526898845.945172,e,tcp,192.168.100.150,54114,192.168.100.3,32083,2,120,RST,1526898845.973028,105242,0.027856,0.027856,0.0,,,0.027856,0.027856,0.027856,,,,,1,1,60,60,35.898911,0.0,0.0,1,Reconnaissance,Service_Scan
4482060,1528081857.67028,e *,tcp,192.168.100.55,8080.0,192.168.100.3,80.0,9298,9060915,CON,1528081915.851883,418,58.181602,4.829754,0.527085,,,57.957047,3.081726,4.997759,,,,,4649,4649,4675276,4385639,159.792786,79.887794,79.887794,0,Normal,Normal
1575023,1526894277.273823,e,udp,192.168.100.7,39908,192.168.159.152,53,2,176,INT,1526894282.314265,20025,5.040442,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,176,0,0.198395,0.198395,0.0,0,Normal,Normal
135307,1526355476.866624,e,tcp,192.168.100.149,42338,192.168.100.7,8180,10,2066,FIN,1526355477.02554,10787,0.158916,0.158916,0.0,,,0.158916,0.158916,0.158916,,,,,5,5,571,1495,56.633694,25.17053,25.17053,1,Reconnaissance,Service_Scan
34870072,1528095721.959696,e,tcp,192.168.100.148,5889,192.168.100.3,80,4,428,RST,1528095731.63942,13600,9.679724,0.007035,0.007035,,,0.01407,0.0,0.01407,,,,,3,1,368,60,0.309926,0.206617,0.0,1,DDoS/DoS,TCP
1719380,1526964196.585264,e,udp,192.168.100.149,35603,192.168.217.2,53,2,172,INT,1526964199.086294,18404,2.50103,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,172,0,0.399835,0.399835,0.0,0,Normal,Normal
42456402,1528096546.315809,e,udp,192.168.100.46,3456.0,192.168.100.5,80.0,3013,2932946,CON,1528096565.145714,209,18.829905,4.698419,0.506455,,,18.793676,3.821217,4.992515,,,,,1507,1506,1433185,1499761,159.958328,79.979164,79.926056,0,Normal,Normal
34939583,1528095723.429864,e s,tcp,192.168.100.147,29858,192.168.100.3,80,3,462,REQ,1528095737.919244,83111,14.48938,2.308671,2.308671,,,4.617343,0.0,4.617343,,,,,3,0,462,0,0.138032,0.138032,0.0,1,DDoS/DoS,TCP
9090107,1528082805.354602,e g,tcp,192.168.100.147,18223.0,192.168.100.3,80.0,9,822,RST,1528082858.57728,98285,53.222679,0.123582,0.015927,,,0.370745,0.112014,0.146103,,,,,6,3,642,180,0.150312,0.093945,0.037578,1,DDoS/DoS,TCP
