Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label,category
0.0,47,64.0,11293.22563274098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,57800,578,578,578.0,0.0,578.0,9.0789794921875e-05,100,0.0,MIRAI-GREIP_FLOOD,Mirai
32.0,6,114.1,380.4909556035343,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12757,66,2962,1275.7,947.6354256780398,1275.7,0.0042594909667968,10,898012.8999999998,BENIGN,Benign
60.0,6,64.0,371177.34513274336,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,940,94,94,94.0,0.0,94.0,4.506111145019531e-06,10,0.0,MITM-ARPSPOOFING,Spoofing
17.2,6,146.6,133.51660560066975,0.0,0.2,0.0,0.2,0.6,0.0,0.0,6,2,0,0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.1,0.1,0.0,0.0,0.9,0.9,2311,60,1203,231.1,355.0888621176395,231.1,0.0089576959609985,10,126088.1,RECON-HOSTDISCOVERY,Recon
0.0,1,64.0,139670.46287046288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,7.171630859375e-06,100,0.0,DDOS-ICMP_FLOOD,DDoS
20.0,6,64.0,14366.022742841486,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,6.960868835449218e-05,100,0.0,DDOS-PSHACK_FLOOD,DDoS
8.0,17,64.0,7604.576194361345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,55400,554,554,554.0,0.0,554.0,0.0001341485977172,100,0.0,MIRAI-UDPPLAIN,Mirai
28.8,6,56.6,159.92862072515547,0.0,0.0,0.0,0.2,0.9,0.0,0.0,9,0,0,0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,7995,60,1514,799.5,753.6249067009396,799.5,0.0062954902648925,10,567950.5,BENIGN,Benign
20.0,6,64.0,32798.74882702534,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.048896789550781e-05,100,0.0,DDOS-SYNONYMOUSIP_FLOOD,DDoS
20.0,6,64.0,50249.23924763388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,1.990079879760742e-05,100,0.0,DDOS-TCP_FLOOD,DDoS
18.8,6,42.1,572.7732561315344,0.0,0.7,0.1,0.0,0.1,0.0,0.0,1,7,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.8,0.8,600,60,60,60.0,0.0,60.0,0.0017657995223999,10,0.0,RECON-HOSTDISCOVERY,Recon
29.6,6,108.1,93.19929961158662,0.0,0.0,0.0,0.1,0.9,0.0,0.0,9,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,18288,66,5858,1828.8,2324.581577641686,1828.8,0.0107769012451171,10,5403679.511111112,BENIGN,Benign
32.0,6,185.8,1507.3868823000898,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5944,66,2454,594.4,888.4372296966797,594.4,0.0006689071655273,10,789320.7111111108,RECON-PORTSCAN,Recon
20.0,6,64.0,11359.596999160414,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,9.27114486694336e-05,100,0.0,DDOS-SYN_FLOOD,DDoS
8.0,17,64.0,30137.98950923332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.318071365356445e-05,100,0.0,DOS-UDP_FLOOD,DoS
20.8,6,142.2,33.61841456660316,0.0,0.0,0.0,0.2,0.8,0.0,0.0,8,0,0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.8,0.8,734,60,123,73.4,23.782346393911595,73.4,0.0337399005889892,10,565.5999999999999,RECON-HOSTDISCOVERY,Recon
22.4,6,68.3,85.55404159493484,0.0,0.0,0.0,0.4,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3728,54,1500,372.8,595.5956495625012,372.8,0.0118061065673828,10,354734.1777777778,DNS_SPOOFING,Spoofing
30.4,6,62.4,25.4764120343937,0.0,0.1,0.0,0.4,0.9,0.0,0.0,9,1,0,0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,959,60,156,95.9,42.41186940782812,95.9,0.0450349807739257,10,1798.7666666666669,RECON-OSSCAN,Recon
0.0,47,64.0,7697.100491815312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,59200,592,592,592.0,0.0,592.0,0.0001306986808776,100,0.0,MIRAI-GREETH_FLOOD,Mirai
19.8,6,64.0,35677.985709424975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.01,0.0,1.0,1.0,6061,60,121,60.61,6.100000000000001,60.61,2.8028488159179688e-05,100,37.210000000000015,DOS-TCP_FLOOD,DoS
20.0,6,63.84,40144.56355283308,0.99,0.0,0.99,0.0,0.01,0.0,0.0,1,0,99,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.490997314453125e-05,100,0.0,DDOS-RSTFINFLOOD,DDoS
27.2,6,64.0,411.1135724297462,0.0,0.0,0.0,0.0,0.8,0.0,0.0,8,0,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,12232,60,1514,1223.2,613.0602290513099,1223.2,0.0046065092086791,10,375842.8444444446,BENIGN,Benign
